open,close,low,high,vol,time
9174.5,9177.0,9174.5,9178.5,1547.4108,2020-07-01 00:28:00
9177.0,9175.5,9175.5,9177.0,0.0,2020-07-01 00:29:00
9175.5,9175.0,9173.0,9175.5,3780.1,2020-07-01 00:30:00
9175.0,9177.0,9173.0,9177.5,2246.32055,2020-07-01 00:31:00
9177.0,9175.0,9173.0,9177.0,0.0,2020-07-01 00:32:00
9175.0,9166.0,9166.0,9175.0,0.0,2020-07-01 00:33:00
9166.0,9168.5,9166.0,9171.0,58073.4663,2020-07-01 00:34:00
9168.5,9170.5,9167.0,9171.5,1043.546,2020-07-01 00:35:00
9170.5,9169.0,9168.5,9170.5,0.0,2020-07-01 00:36:00
9169.0,9167.0,9166.5,9169.0,0.0,2020-07-01 00:37:00
9167.0,9163.0,9161.5,9167.0,0.0,2020-07-01 00:38:00
9163.0,9165.0,9163.0,9167.0,23269.4368,2020-07-01 00:39:00
9165.0,9165.5,9165.0,9165.5,0.0,2020-07-01 00:40:00
9165.5,9160.5,9159.0,9165.5,7233.6687,2020-07-01 00:41:00
9160.5,9161.5,9160.0,9161.5,318.7854,2020-07-01 00:42:00
9161.5,9161.0,9160.5,9161.5,0.0,2020-07-01 00:43:00
9161.0,9160.0,9158.0,9164.0,0.0,2020-07-01 00:44:00
9160.0,9160.0,9159.0,9160.5,0.0,2020-07-01 00:45:00
9160.0,9162.0,9158.0,9162.0,0.0,2020-07-01 00:46:00
9162.0,9162.5,9161.5,9162.5,0.0,2020-07-01 00:47:00
9162.5,9160.0,9160.0,9163.0,0.0,2020-07-01 00:48:00
9160.0,9160.5,9160.0,9161.0,0.0,2020-07-01 00:49:00
9160.5,9161.5,9160.5,9161.5,0.0,2020-07-01 00:50:00
9161.5,9160.0,9159.0,9161.5,0.0,2020-07-01 00:51:00
9160.0,9162.0,9160.0,9162.0,0.0,2020-07-01 00:52:00
9162.0,9163.5,9162.0,9163.5,0.0,2020-07-01 00:53:00
9163.5,9166.5,9163.5,9166.5,0.0,2020-07-01 00:54:00
